Group hierarchy	Region	Description	Service	Upfront	Monthly	First 12 months total	Currency	Configuration summary
My Estimate	US East (N. Virginia)		Amazon EC2	0	269.85	3238.2	USD	"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (t2.large)"
My Estimate	US East (N. Virginia)		Amazon EC2	0	289.56	3474.72	USD	"Operating system (Linux), Quantity (6), Pricing strategy (Standard Reserved Instances 1 Year No Upfront), Storage amount (30 GB), Instance type (m4.large)"
My Estimate	US East (N. Virginia)		Amazon RDS for MySQL	0	1286.152	15433.82	USD	"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (30 GB), Quantity (1), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (Reserved 1yr No Upfront)"
My Estimate	US East (N. Virginia)		Amazon Route 53	0	365.5	4386	USD	"Hosted Zones (1), Basic Checks Within AWS (), Number of Elastic Network Interfaces (4)"
My Estimate	US East (N. Virginia)		S3 Standard	0	23	276	USD	S3 Standard storage (1000 GB per month)
My Estimate	US East (N. Virginia)		Data Transfer	0	0	0	USD	
My Estimate	US East (N. Virginia)		VPN Connection	0	0	0	USD	Working days per month (22)
My Estimate	US East (N. Virginia)		Network Address Translation (NAT) Gateway	0	482.85	5794.2	USD	Number of NAT Gateways (1)
My Estimate	US East (N. Virginia)		Application Load Balancer	0	2952.85	35434.2	USD	Number of Application Load Balancers (2)
My Estimate	US East (N. Virginia)		Amazon CloudFront	0	85.01	1020.12	USD	"Number of requests (HTTPS) (10000 per month), Data transfer out to internet (1000 GB per month)"
		Total			5754.772			
								
					"Note: Change strategy of EC2 and RDS payment to 1 year no upfront, and change Processed bytes of LCUs in ALB from 150 to 100."			
Acknowledgement								
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."								
